,News Sentiment,SA quant,SA quant cons,SA authors,SA au cons,Oscillators,Moving Averages,Technical Score,Final Score
spy daily,Negative,3.799154334038055,Change down,2.904761904761905,Negative,Sell,Strong Sell,Strong Sell,
spy weekly,,,,,,Sell,Strong Sell,Sell,
spy monthly,,,,,,Netural,Buy,Buy,
